Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018","2019"
"Afghanistan","AFG","National","AFGt","Total",0.499,0.502,0.506,0.509,0.511
"Albania","ALB","National","ALBt","Total",0.787,0.787,0.790,0.793,0.794
"Algeria","DZA","National","DZAt","Total",0.739,0.742,0.746,0.747,0.748
"Andorra","AND","National","ANDt","Total",0.862,0.866,0.863,0.867,0.868
"Angola","AGO","National","AGOt","Total",0.572,0.578,0.582,0.582,0.582
"Antigua and Barbuda","ATG","National","ATGt","Total",0.763,0.765,0.769,0.773,0.778
"Argentina","ARG","National","ARGt","Total",0.839,0.839,0.843,0.842,0.845
"Armenia","ARM","National","ARMt","Total",0.768,0.766,0.769,0.771,0.776
"Australia","AUS","National","AUSt","Total",0.937,0.940,0.942,0.943,0.944
"Austria","AUT","National","AUTt","Total",0.916,0.918,0.920,0.921,0.921
"Azerbaijan","AZE","National","AZEt","Total",0.744,0.751,0.754,0.755,0.756
"Bahamas","BHS","National","BHSt","Total",0.808,0.810,0.812,0.812,0.814
"Bahrain","BHR","National","BHRt","Total",0.848,0.853,0.854,0.852,0.853
"Bangladesh","BGD","National","BGDt","Total",0.595,0.606,0.617,0.626,0.632
"Barbados","BRB","National","BRBt","Total",0.808,0.811,0.811,0.811,0.813
"Belarus","BLR","National","BLRt","Total",0.814,0.815,0.819,0.823,0.823
"Belgium","BEL","National","BELt","Total",0.922,0.924,0.928,0.930,0.932
"Belize","BLZ","National","BLZt","Total",0.709,0.718,0.714,0.714,0.715
"Benin","BEN","National","BENt","Total",0.532,0.532,0.535,0.541,0.544
"Bhutan","BTN","National","BTNt","Total",0.627,0.638,0.646,0.650,0.654
"Bolivia","BOL","National","BOLt","Total",0.697,0.702,0.710,0.714,0.718
"Bosnia and Herzegovina","BIH","National","BIHt","Total",0.761,0.772,0.774,0.777,0.780
"Botswana","BWA","National","BWAt","Total",0.716,0.720,0.725,0.730,0.735
"Brazil","BRA","National","BRAt","Total",0.757,0.758,0.761,0.761,0.765
"Brunei Darussalam","BRN","National","BRNt","Total",0.837,0.840,0.839,0.836,0.838
"Bulgaria","BGR","National","BGRt","Total",0.809,0.810,0.811,0.814,0.816
"Burkina Faso","BFA","National","BFAt","Total",0.422,0.428,0.438,0.443,0.452
